SYMBOL,NAME,EXCHANGE,CATEGORY NAME,CATEGORY NUMBER
AUB.AX,AUSTBROKERS HOLDINGS LIMITED,ASX,ACCIDENT & HEALTH INSURANCE,431
GLRE,"GREENLIGHT CAPITAL RE, LTD.",NMS,ACCIDENT & HEALTH INSURANCE,431
SFG,STANCORP FINANCIAL GROUP INC.,NYQ,ACCIDENT & HEALTH INSURANCE,431
AMIC,AMERICAN INDEPENDENCE CORP.,NGM,ACCIDENT & HEALTH INSURANCE,431
GTS,TRIPLE-S MANAGEMENT CORPORATION,NYQ,ACCIDENT & HEALTH INSURANCE,431
LRE.L,LANCASHIRE HOLDINGS LIMITED,LSE,ACCIDENT & HEALTH INSURANCE,431
EIG,"EMPLOYERS HOLDINGS, INC.",NYQ,ACCIDENT & HEALTH INSURANCE,431
AIZ,ASSURANT INC.,NYQ,ACCIDENT & HEALTH INSURANCE,431
NHF.AX,NIB HOLDINGS LIMITED,ASX,ACCIDENT & HEALTH INSURANCE,431
PRA,PROASSURANCE CORPORATION,NYQ,ACCIDENT & HEALTH INSURANCE,431
TRUP,"TRUPANION, INC.",NYQ,ACCIDENT & HEALTH INSURANCE,431
AFL,AFLAC INC.,NYQ,ACCIDENT & HEALTH INSURANCE,431
MIC.TO,GENWORTH MI CANADA INC.,TOR,ACCIDENT & HEALTH INSURANCE,431
CNO,"CNO FINANCIAL GROUP, INC.",NYQ,ACCIDENT & HEALTH INSURANCE,431
UNM,UNUM GROUP,NYQ,ACCIDENT & HEALTH INSURANCE,431
FAC,FIRST ACCEPTANCE CORP.,NYQ,ACCIDENT & HEALTH INSURANCE,431
SCRI,"SOCIAL REALITY, INC.",PNK,ADVERTISING AGENCIES,720
DCS.MU,JC DECAUX,MUN,ADVERTISING AGENCIES,720
XM8.F,CLEAR MEDIA,FRA,ADVERTISING AGENCIES,720
XBTC,XHIBIT CORP.,PNK,ADVERTISING AGENCIES,720
VISN,VISIONCHINA MEDIA INC.,NMS,ADVERTISING AGENCIES,720
QXQ.AX,Q LIMITED,ASX,ADVERTISING AGENCIES,720
VEND,"FRESH HEALTHY VENDING INTERNATIONAL, INC.",OBB,ADVERTISING AGENCIES,720
DNAX,"DNA BRANDS, INC.",PNK,ADVERTISING AGENCIES,720
IPG,"THE INTERPUBLIC GROUP OF COMPANIES, INC.",NYQ,ADVERTISING AGENCIES,720
YUME,"YUME, INC.",NYQ,ADVERTISING AGENCIES,720
PUB.PA,PUBLICIS GROUPE SA,PAR,ADVERTISING AGENCIES,720
MSHF,"MEDIASHIFT, INC.",PNK,ADVERTISING AGENCIES,720
SAX.BE,STROEER MEDIA,BER,ADVERTISING AGENCIES,720
TRS.L,TARSUS GROUP PLC,LSE,ADVERTISING AGENCIES,720
IDI,"TIGER MEDIA, INC.",ASE,ADVERTISING AGENCIES,720
CL2.SG,CYBERAGENT,STU,ADVERTISING AGENCIES,720
XM8.SG,CLEAR MEDIA,STU,ADVERTISING AGENCIES,720
0205.HK,SEEC MEDIA,HKG,ADVERTISING AGENCIES,720
DEN.DU,DENTSU,DUS,ADVERTISING AGENCIES,720
RVUE,"RVUE HOLDINGS, INC.",PNK,ADVERTISING AGENCIES,720
PHRM.L,PHORM CORPORATION LIMITED,LSE,ADVERTISING AGENCIES,720
RLOC,"REACHLOCAL, INC.",NMS,ADVERTISING AGENCIES,720
DCS.SG,JC DECAUX,STU,ADVERTISING AGENCIES,720
OMC,OMNICOM GROUP INC.,NYQ,ADVERTISING AGENCIES,720
DEC.PA,JCDECAUX SA,PAR,ADVERTISING AGENCIES,720
CNET,"CHINANET ONLINE HOLDINGS, INC.",NCM,ADVERTISING AGENCIES,720
FUEL,ROCKET FUEL INC.,NMS,ADVERTISING AGENCIES,720
NMED,"NEW MEDIA INSIGHT GROUP, INC.",PNK,ADVERTISING AGENCIES,720
SZMK,SIZMEK INC.,NMS,ADVERTISING AGENCIES,720
SPN.V,SNIPP INTERACTIVE INC.,VAN,ADVERTISING AGENCIES,720
KITM,KITARA MEDIA CORP.,OBB,ADVERTISING AGENCIES,720
WPP.L,WPP PLC,LSE,ADVERTISING AGENCIES,720
Y07.SI,GLOBAL YELLOW PAGES LIMITED,SES,ADVERTISING AGENCIES,720
ZCNV.PA,ZODIAC AEROSPACE,PAR,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
NOC,NORTHROP GRUMMAN CORPORATION,NYQ,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
MTX.DE,MTU AERO ENGINES AG,GER,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
RTN1.SG,RAYTHEON,STU,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
EAD.DE,AIRBUS GROUP N.V.,GER,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
QY6.SG,QINETIQ GROUP,STU,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
NTH.BE,NORTHROP GRUMMAN,BER,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
EAD.PA,AIRBUS GROUP N.V.,,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
SWS.SG,SMITH & WESSON HLDG,STU,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
EOS.AX,ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,ASX,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
MAL.TO,MAGELLAN AEROSPACE CORP.,TOR,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
BA.L,BAE SYSTEMS PLC,LSE,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
RR.L,ROLLS ROYCE HOLDINGS PLC,LSE,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
UEH.F,ULTRA ELEC HLDGS,FRA,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
NTH.DU,NORTHROP GRUMMAN,DUS,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
MTX.F,MTU AERO ENGINES N,FRA,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
ZC.PA,ZODIAC AEROSPACE,PAR,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
ZDC.BE,ZODIAC AEROSPACE,BER,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
QQ.L,QINETIQ GROUP PLC,LSE,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
S51.SI,SEMBCORP MARINE LTD,SES,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
EMRI,EMRISE CORPORATION,PNK,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
EAC,ERICKSON INCORPORATED,NGM,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
SDZ.V,SECURITY DEVICES INTERNATIONAL INC.,VAN,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
QHL.AX,QUICKSTEP HOLDINGS LIMITED,ASX,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
TIK,TEL-INSTRUMENT ELECTRONICS CORP.,ASE,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
B8O.F,YANGZIJIANG SHIPBLD,FRA,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
SDSS,SUSPECT DETECTION SYSTEMS INC.,PNK,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
ZDC.F,ZODIAC AEROSPACE,FRA,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
GDX.DU,GENL DYNAMICS CORP,DUS,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
LAT.PA,"LAT̩CO̬RE S.A.
",PAR,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
A04.SI,ASL MARINE HOLDINGS LTD.,SES,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
S63.SI,SINGAPORE TECHNOLOGIES ENGINEERING LTD,SES,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
SAF.PA,SAFRAN SA,PAR,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
MGGT.L,MEGGITT PLC,LSE,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
SNR.L,SENIOR PLC,LSE,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
ZDC.DU,ZODIAC AEROSPACE,DUS,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
TXT,TEXTRON INC.,NYQ,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
BBD-B.TO,BOMBARDIER INC.,TOR,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
GY,GENCORP INC.,NYQ,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
SWS.BE,SMITH & WESSON HLDG,BER,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
HXL.PA,HEXCEL CORP.,PAR,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
ZDC.MU,ZODIAC AEROSPACE,MUN,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
MICT,"MICRONET ENERTEC TECHNOLOGIES, INC.",NCM,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
FTG.TO,FIRAN TECHNOLOGY GROUP CORPORATION,TOR,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
BS6.SI,YANGZIJIANG SHIPBUILDING (HOLDINGS) LTD.,SES,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
ERJ,EMBRAER SA,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
TPAC,"TRANS-PACIFIC AEROSPACE COMPANY, INC.",PNK,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
COL,ROCKWELL COLLINS INC.,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
TGI,"TRIUMPH GROUP, INC.",NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
DCO,DUCOMMUN INC.,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
UTX,UNITED TECHNOLOGIES CORPORATION,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
ESL,ESTERLINE TECHNOLOGIES CORP.,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
TATT,"TAT TECHNOLOGIES, LTD.",NGM,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
CVU,CPI AEROSTRUCTURES INC.,ASE,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
MLER,MOLLER INTERNATIONAL INC.,PNK,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
AIR,AAR CORP.,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
BEAV,B/E AEROSPACE INC.,NMS,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
SPR,"SPIRIT AEROSYSTEMS HOLDINGS, INC.",NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
XLS,EXELIS INC.,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
TASR,TASER INTERNATIONAL INC.,NMS,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
PIVN,"PHOENIX INTERNATIONAL VENTURES, INC.",PNK,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
AIRI,AIR INDUSTRIES GROUP,ASE,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
LMIA,LMI AEROSPACE INC.,NMS,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
AVAV,"AEROVIRONMENT, INC.",NMS,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
RGR,"STURM, RUGER & CO. INC.",NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
HEI,HEICO CORPORATION,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
SWHC,SMITH & WESSON HOLDING CORPORATION,NMS,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
ATK,ALLIANT TECHSYSTEMS INC.,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
GR.V,GREAT ATLANTIC RESOURCES CORP.,VAN,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
DGI,"DIGITALGLOBE, INC.",NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
OKRG,OAKRIDGE HOLDINGS INC.,PNK,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
GD,GENERAL DYNAMICS CORPORATION,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
BUKS,BUTLER NATIONAL CORPORATION,PNK,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
BZC,BREEZE-EASTERN CORPORATION,ASE,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
ORB,ORBITAL SCIENCES CORP.,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
WWD,"WOODWARD, INC.",NMS,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
BEA.V,BELMONT RESOURCES INC.,VAN,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
ATRO,ASTRONICS CORPORATION,NMS,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
ISSC,INNOVATIVE SOLUTIONS & SUPPORT INC.,NMS,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
CAE,CAE INC.,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
ASTC,ASTROTECH CORP.,NCM,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
BA,THE BOEING COMPANY,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
TDG,TRANSDIGM GROUP INCORPORATED,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
ACFN,"ACORN ENERGY, INC.",NGM,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
MOG-A,MOOG INC.,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
HEI-A,HEICO CORPORATION,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
LMT,LOCKHEED MARTIN CORPORATION,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
HXL,HEXCEL CORP.,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
RTN,RAYTHEON COMPANY,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
KAMN,KAMAN CORPORATION,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
LLL,L-3 COMMUNICATIONS HOLDINGS INC.,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
NPK,NATIONAL PRESTO INDUSTRIES INC.,NYQ,AEROSPACE/DEFENSE PRODUCTS & SERVICES,611
CERE,"CERES, INC.",NCM,AGRICULTURAL CHEMICALS,112
MAA.TO,MAGINDUSTRIES CORP.,TOR,AGRICULTURAL CHEMICALS,112
MOS,THE MOSAIC COMPANY,NYQ,AGRICULTURAL CHEMICALS,112
MBII,"MARRONE BIO INNOVATIONS, INC.",NGM,AGRICULTURAL CHEMICALS,112
SMG,THE SCOTTS MIRACLE-GRO COMPANY,NYQ,AGRICULTURAL CHEMICALS,112
AVD,AMERICAN VANGUARD CORP.,NYQ,AGRICULTURAL CHEMICALS,112
POT.TO,"POTASH CORP. OF SASKATCHEWAN, INC.",TOR,AGRICULTURAL CHEMICALS,112
MON,MONSANTO COMPANY,NYQ,AGRICULTURAL CHEMICALS,112
RCF.NS,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED,NSI,AGRICULTURAL CHEMICALS,112
AGU,AGRIUM INC.,NYQ,AGRICULTURAL CHEMICALS,112
SYT,SYNGENTA AG,NYQ,AGRICULTURAL CHEMICALS,112
CF,"CF INDUSTRIES HOLDINGS, INC.",NYQ,AGRICULTURAL CHEMICALS,112
FF5.MU,CHINA XLX FERTILISE,MUN,AGRICULTURAL CHEMICALS,112
XCLIND.BO,EXCEL INDUSTRIES LIMITED,,AGRICULTURAL CHEMICALS,112
NOEC,NEW ORIENTAL ENERGY & CHEMICAL CORP,PNK,AGRICULTURAL CHEMICALS,112
1073.HK,CHINA AGROTECH,HKG,AGRICULTURAL CHEMICALS,112
POC.MU,POTASH SASKATCHEWAN,MUN,AGRICULTURAL CHEMICALS,112
WCQ1.F,SINOFERT HOLDINGS,FRA,AGRICULTURAL CHEMICALS,112
FF5.BE,CHINA XLX FERTILISE,BER,AGRICULTURAL CHEMICALS,112
MEGH.NS,MEGHMANI ORGANICS LIMITED,NSI,AGRICULTURAL CHEMICALS,112
ST.TO,STONEGATE AGRICOM LTD.,TOR,AGRICULTURAL CHEMICALS,112
XCLCROP.BO,EXCEL CROP CARE LIMITED,,AGRICULTURAL CHEMICALS,112
POT,"POTASH CORP. OF SASKATCHEWAN, INC.",NYQ,AGRICULTURAL CHEMICALS,112
NUF.AX,NUFARM LIMITED,ASX,AGRICULTURAL CHEMICALS,112
CVAT,"CAVITATION TECHNOLOGIES, INC.",PNK,AGRICULTURAL CHEMICALS,112
POTN.MX,"POTASH CORP. OF SASKATCHEWAN, INC.",MEX,AGRICULTURAL CHEMICALS,112
GRVO.PA,GRAINES VOLTZ,PAR,AGRICULTURAL CHEMICALS,112
0809.HK,GLOBAL BIO-CHEM,HKG,AGRICULTURAL CHEMICALS,112
RNF,"RENTECH NITROGEN PARTNERS, L.P.",NYQ,AGRICULTURAL CHEMICALS,112
IPI,"INTREPID POTASH, INC.",NYQ,AGRICULTURAL CHEMICALS,112
DD,E. I. DU PONT DE NEMOURS AND COMPANY,NYQ,AGRICULTURAL CHEMICALS,112
X6S.SG,STONEGATE AGRI,STU,AGRICULTURAL CHEMICALS,112
IPL.AX,INCITEC PIVOT LIMITED,ASX,AGRICULTURAL CHEMICALS,112
FF5.SG,CHINA XLX FERTILISE,STU,AGRICULTURAL CHEMICALS,112
AGU.TO,AGRIUM INC.,TOR,AGRICULTURAL CHEMICALS,112
FF5.F,CHINA XLX FERTILISE,FRA,AGRICULTURAL CHEMICALS,112
ICP.TO,IC POTASH CORP.,TOR,AGRICULTURAL CHEMICALS,112
KRN.TO,KARNALYTE RESOURCES INC.,TOR,AGRICULTURAL CHEMICALS,112
X6S.F,STONEGATE AGRI,FRA,AGRICULTURAL CHEMICALS,112
GROG,"GROGENESIS, INC.",OBB,AGRICULTURAL CHEMICALS,112
E6R.F,DUSOLO FERTILIZERS,FRA,AGRICULTURAL CHEMICALS,112
NFL.BO,NATIONAL FERTILIZERS LTD.,BSE,AGRICULTURAL CHEMICALS,112
GOP.V,GOURMET OCEAN PRODUCTS INC.,VAN,AGRICULTURAL CHEMICALS,112
UAN,"CVR PARTNERS, LP",NYQ,AGRICULTURAL CHEMICALS,112
YONGY,YONGNAM HOLDINGS LIMITED,PNK,AGRICULTURAL CHEMICALS,112
MGO.TO,MIGAO CORPORATION,TOR,AGRICULTURAL CHEMICALS,112
MBC.TO,MBAC FERTILIZER CORP,TOR,AGRICULTURAL CHEMICALS,112
TNH,"TERRA NITROGEN COMPANY, L.P.",NYQ,AGRICULTURAL CHEMICALS,112
X6S.MU,STONEGATE AGRI,MUN,AGRICULTURAL CHEMICALS,112
CGA,"CHINA GREEN AGRICULTURE, INC.",NYQ,AGRICULTURAL CHEMICALS,112
JLWT,JANEL WORLD TRADE LTD.,PNK,AIR DELIVERY & FREIGHT SERVICES,773
EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON INC.,NMS,AIR DELIVERY & FREIGHT SERVICES,773
JB1.MU,J.B.HUNT TRANSP,MUN,AIR DELIVERY & FREIGHT SERVICES,773
UTW1.BE,UTI WORLDWIDE,BER,AIR DELIVERY & FREIGHT SERVICES,773
EW1.MU,EXPEDIT INTL WASH,MUN,AIR DELIVERY & FREIGHT SERVICES,773
SINO,"SINO-GLOBAL SHIPPING AMERICA, LTD.",NCM,AIR DELIVERY & FREIGHT SERVICES,773
AIRT,AIR T INC.,NCM,AIR DELIVERY & FREIGHT SERVICES,773
FWRD,FORWARD AIR CORP.,NMS,AIR DELIVERY & FREIGHT SERVICES,773
GPW.V,GRAND POWER LOGISTICS GROUP INC.,VAN,AIR DELIVERY & FREIGHT SERVICES,773
GND.PA,NORBERT DENTRESSANGLE S.A.,PAR,AIR DELIVERY & FREIGHT SERVICES,773
NS8U.SI,HUTCHISON PORT HOLDINGS TRUST,SES,AIR DELIVERY & FREIGHT SERVICES,773
RRTS,"ROADRUNNER TRANSPORTATION SYSTEMS, INC.",NYQ,AIR DELIVERY & FREIGHT SERVICES,773
WNL.F,WILH. WILHELMSEN,FRA,AIR DELIVERY & FREIGHT SERVICES,773
NRINTER.BO,NR INTERNATIONAL LTD.,BSE,AIR DELIVERY & FREIGHT SERVICES,773
CGOA.SG,MODUSLINK GLBL SOLS,STU,AIR DELIVERY & FREIGHT SERVICES,773
CNR,CHINA METRO-RURAL HOLDINGS LIMITED,ASE,AIR DELIVERY & FREIGHT SERVICES,773
TOL.AX,TOLL HOLDINGS LIMITED,ASX,AIR DELIVERY & FREIGHT SERVICES,773
XUN.SG,SHUN TAK HLDGS,STU,AIR DELIVERY & FREIGHT SERVICES,773
P01.SI,POH TIONG CHOON LOGISTICS LIMITED,SES,AIR DELIVERY & FREIGHT SERVICES,773
PVI.V,PRO TRANS VENTURES INC.,VAN,AIR DELIVERY & FREIGHT SERVICES,773
XJL.F,CHINA MET-RURAL HLD,FRA,AIR DELIVERY & FREIGHT SERVICES,773
FRE.NZ,FREIGHTWAYS LIMITED,NZE,AIR DELIVERY & FREIGHT SERVICES,773
K11.SI,KEPPEL TELECOMMUNICATIONS & TRANSPORTATION LTD,SES,AIR DELIVERY & FREIGHT SERVICES,773
DPW.DE,DEUTSCHE POST AG,GER,AIR DELIVERY & FREIGHT SERVICES,773
KPL.F,KEPPEL TEL & TRANSP,FRA,AIR DELIVERY & FREIGHT SERVICES,773
KSC.AX,K & S CORPORATION LIMITED,ASX,AIR DELIVERY & FREIGHT SERVICES,773
MLNK,"MODUSLINK GLOBAL SOLUTIONS, INC.",NMS,AIR DELIVERY & FREIGHT SERVICES,773
MFT.NZ,MAINFREIGHT LIMITED,NZE,AIR DELIVERY & FREIGHT SERVICES,773
JB1.BE,J.B.HUNT TRANSP,BER,AIR DELIVERY & FREIGHT SERVICES,773
QUB.AX,QUBE HOLDINGS LIMITED,ASX,AIR DELIVERY & FREIGHT SERVICES,773
UPS,"UNITED PARCEL SERVICE, INC.",NYQ,AIR DELIVERY & FREIGHT SERVICES,773
JB1.F,J.B.HUNT TRANSP,FRA,AIR DELIVERY & FREIGHT SERVICES,773
RLGT,"RADIANT LOGISTICS, INC.",ASE,AIR DELIVERY & FREIGHT SERVICES,773
XPO,"XPO LOGISTICS, INC.",NYQ,AIR DELIVERY & FREIGHT SERVICES,773
HUBG,HUB GROUP INC.,NMS,AIR DELIVERY & FREIGHT SERVICES,773
ATSG,"AIR TRANSPORT SERVICES GROUP, INC.",NMS,AIR DELIVERY & FREIGHT SERVICES,773
CHRW,CH ROBINSON WORLDWIDE INC.,NMS,AIR DELIVERY & FREIGHT SERVICES,773
UTIW,UTI WORLDWIDE INC.,NMS,AIR DELIVERY & FREIGHT SERVICES,773
XUN.F,SHUN TAK HLDGS,FRA,AIR DELIVERY & FREIGHT SERVICES,773
WGI.V,WHEELS GROUP INC.,VAN,AIR DELIVERY & FREIGHT SERVICES,773
RMG.L,ROYAL MAIL PLC,LSE,AIR DELIVERY & FREIGHT SERVICES,773
CONCOR.NS,CONTAINER CORPORATION OF INDIA LTD.,NSI,AIR DELIVERY & FREIGHT SERVICES,773
FDX,FEDEX CORPORATION,NYQ,AIR DELIVERY & FREIGHT SERVICES,773
0494.HK,LI & FUNG LIMITED,HKG,AIR DELIVERY & FREIGHT SERVICES,773
XUN.MU,SHUN TAK HLDGS,MUN,AIR DELIVERY & FREIGHT SERVICES,773
0885.HK,FOREFRONT GROUP,HKG,AIR DELIVERY & FREIGHT SERVICES,773
MIC,MACQUARIE INFRASTRUCTURE COMPANY LLC,NYQ,"AIR SERVICES, OTHER",772
KLH.F,COPENHAGEN AIRPORT,FRA,"AIR SERVICES, OTHER",772
JAGSONAI.BO,JAGSON AIRLINES LTD.,BSE,"AIR SERVICES, OTHER",772
FLW.DU,FLUGHAFEN WIEN,DUS,"AIR SERVICES, OTHER",772
W7L.SG,ADP,STU,"AIR SERVICES, OTHER",772
W1J.SG,SATS,STU,"AIR SERVICES, OTHER",772
ASR,"GRUPO AEROPORTUARIO DEL SURESTE, SAB DE CV",NYQ,"AIR SERVICES, OTHER",772
UZA.BE,FLUGHAFEN ZUERICH N,BER,"AIR SERVICES, OTHER",772
BBA.L,BBA AVIATION PLC,LSE,"AIR SERVICES, OTHER",772
UZA.F,FLUGHAFEN ZUERICH N,FRA,"AIR SERVICES, OTHER",772
CJT.TO,CARGOJET INC.,TOR,"AIR SERVICES, OTHER",772
SKAS,"SAKER AVIATION SERVICES, INC.",PNK,"AIR SERVICES, OTHER",772
OMAB.MX,"GRUPO AEROPORTUARIO DEL CENTRO NORTE, S.A.B. DE C.V.",MEX,"AIR SERVICES, OTHER",772
TX3.BE,AIRPORTS OF THAI-F-,BER,"AIR SERVICES, OTHER",772
W7L.F,ADP,FRA,"AIR SERVICES, OTHER",772
MLAAE.PA,CAIRE,PAR,"AIR SERVICES, OTHER",772
UZA.SG,FLUGHAFEN ZUERICH N,STU,"AIR SERVICES, OTHER",772
AAWW,"ATLAS AIR WORLDWIDE HOLDINGS, INC.",NMS,"AIR SERVICES, OTHER",772
PAC,GRUPO AEROPORTUARIO DEL PACIFICO S.A.B. DE CV,NYQ,"AIR SERVICES, OTHER",772
PHII,PHI INC.,NMS,"AIR SERVICES, OTHER",772
FLW.F,FLUGHAFEN WIEN,FRA,"AIR SERVICES, OTHER",772
AER,AERCAP HOLDINGS N.V.,NYQ,"AIR SERVICES, OTHER",772
PJT.V,PARTNER JET CORP.,VAN,"AIR SERVICES, OTHER",772
KFA.NS,KINGFISHER AIRLINES LIMITED,NSI,"AIR SERVICES, OTHER",772
AIRM,AIR METHODS CORP.,NMS,"AIR SERVICES, OTHER",772
AIR.NZ,AIR NEW ZEALAND LIMITED,NZE,"AIR SERVICES, OTHER",772
ACH,ALUMINUM CORPORATION OF CHINA LIMITED,NYQ,ALUMINUM,132
ORT.TO,ORBITE ALUMINAE INC,TOR,ALUMINUM,132
WMC.MU,ALUMINA SP ADR,MUN,ALUMINUM,132
WMC.SG,ALUMINA SP ADR,STU,ALUMINUM,132
KLU1.SG,KAISER ALUM,STU,ALUMINUM,132
K3HD.SI,ALUMINUM CORPORATION OF CHINA LIMITED,SES,ALUMINUM,132
0CZ.F,CHINA ZHONGWANG,FRA,ALUMINUM,132
NOH1.DE,NORSK HYDRO ASA,GER,ALUMINUM,132
R6L.SG,UNITED COMP RUSAL,STU,ALUMINUM,132
4H6.BE,HULAMIN,BER,ALUMINUM,132
NOR,NORANDA ALUMINUM HOLDING CORP.,NYQ,ALUMINUM,132
5EN.SI,MIDAS HOLDINGS LIMITED,SES,ALUMINUM,132
ACHN.MX,ALUMINUM CORPORATION OF CHINA LIMITED,MEX,ALUMINUM,132
1333.HK,CHINA ZHONGWANG,HKG,ALUMINUM,132
0486.HK,RUSAL,HKG,ALUMINUM,132
HINDALCO.NS,HINDALCO INDUSTRIES LTD.,NSI,ALUMINUM,132
HINDALCO.BO,HINDALCO INDUSTRIES LTD.,BSE,ALUMINUM,132
AA,ALCOA INC.,NYQ,ALUMINUM,132
MN5.SI,XINREN ALUMINUM HOLDINGS LIMITED,SES,ALUMINUM,132
CENX,CENTURY ALUMINUM CO.,NMS,ALUMINUM,132
RUSAL.PA,UNITED COMPANY RUSAL PLC,PAR,ALUMINUM,132
